@relation MyRelation

@attribute convexity numeric
@attribute circularity numeric
@attribute stdDevR numeric
@attribute relativeX numeric
@attribute relativeY numeric
@attribute relativeArea numeric
@attribute bloodStatus {blood,notBlood}

@data
1,0.343612,2.864277,0.545906,0.648577,0.000002,notBlood
1,0.208371,5.91558,0.546402,0.598279,0.000004,notBlood
1,0.125446,7.671911,0.546402,0.610854,0.000008,notBlood
0.923077,0.594858,2.345208,0.550372,0.074123,0.000003,notBlood
1,0.610865,1.551826,0.555831,0.063534,0.000002,notBlood
1,0.775702,3.03315,0.559801,0.054931,0.000002,notBlood
1,0.523599,16.955006,0.567742,0.092654,0.000002,notBlood
1,0.310281,2.341874,0.583623,0.320318,0.000003,notBlood
1,0.687223,9.051158,0.599007,0.642621,0.000005,notBlood
1,0.520501,0.699854,0.599504,0.551291,0.000002,notBlood
1,0.837758,9.972406,0.601985,0.694242,0.000005,notBlood
0.897436,0.677477,10.497422,0.60397,0.711449,0.000027,notBlood
1,0.628319,1.32665,0.602978,0.552614,0.000002,notBlood
1,0.519272,1.430909,0.605459,0.548643,0.000007,notBlood
0.933333,0.614356,10.037121,0.604467,0.63865,0.000004,notBlood
0.866667,0.558505,1.004988,0.604963,0.5546,0.000003,notBlood
0.8,0.439823,11.902881,0.604963,0.632694,0.000005,notBlood
1,0.698132,2.58602,0.606452,0.54004,0.000003,notBlood
1,0.775702,0.8,0.606452,0.546658,0.000002,notBlood
1,0.659347,1.569608,0.608437,0.549967,0.000006,notBlood
0.766667,0.314159,10.201525,0.611911,0.655857,0.00003,notBlood
0.671642,0.282736,9.434693,0.611414,0.704831,0.000033,notBlood
1,0.785398,1.892154,0.610422,0.839841,0.000003,notBlood
0.828571,0.187213,7.762012,0.611911,0.671079,0.000024,notBlood
0.882353,0.521787,8.616441,0.612407,0.647915,0.000004,notBlood
1,0.479966,7.301223,0.616873,0.675711,0.000007,notBlood
0.928571,0.299199,9.933709,0.618362,0.681006,0.000014,notBlood
1,0.775702,1.019804,0.614888,0.555261,0.000002,notBlood
0.894737,0.661388,10.085507,0.618362,0.696889,0.000025,notBlood
0.944444,0.756309,9.788459,0.618362,0.729318,0.000026,notBlood
1,0.695716,10.157933,0.616377,0.745864,0.000005,notBlood
1,0.448799,5.799367,0.61737,0.628723,0.000002,notBlood
0.909091,0.623126,10.918893,0.61737,0.620781,0.000002,notBlood
0.928571,0.480856,5.221749,0.618362,0.667108,0.00001,notBlood
1,0.577027,11.254629,0.617866,0.636003,0.000003,notBlood
1,0.519272,5.678028,0.618362,0.645268,0.000002,notBlood
1,0.659734,8.718578,0.620347,0.628061,0.000007,notBlood
1,0.753982,1.771691,0.619851,0.833885,0.000002,notBlood
1,0.817929,7.698878,0.620844,0.676373,0.000004,notBlood
1,0.523599,8.096639,0.621836,0.659166,0.000002,notBlood
1,0.775702,0.4,0.622333,0.836532,0.000002,notBlood
0.894737,0.661388,5.686647,0.62531,0.66049,0.000006,notBlood
0.903226,0.418443,7.663836,0.62531,0.691595,0.00001,notBlood
0.933333,0.460767,9.641889,0.625806,0.700199,0.000011,notBlood
0.954545,0.597162,4.548416,0.626799,0.633355,0.000008,notBlood
0.909091,0.311563,10.003703,0.626799,0.648577,0.000009,notBlood
0.958333,0.349066,10.616725,0.626799,0.673726,0.000005,notBlood
0.956522,0.356324,6.966587,0.626303,0.682991,0.000005,notBlood
1,0.669215,3.231787,0.627295,0.655195,0.000003,notBlood
0.933333,0.446804,6.936092,0.626799,0.66777,0.000003,notBlood
1,0.830834,4.472136,0.627295,0.692919,0.000003,notBlood
0.894737,0.626578,8.774964,0.628784,0.630046,0.000006,notBlood
0.964286,0.65717,9.754268,0.630273,0.66049,0.000013,notBlood
0.87234,0.364078,10.616127,0.631266,0.694242,0.000021,notBlood
0.92,0.341805,3.535289,0.629777,0.839179,0.000006,notBlood
0.9,0.753982,9.249625,0.628784,0.651886,0.000002,notBlood
1,0.628319,8.979978,0.630273,0.652548,0.000002,notBlood
1,0.502655,8.038968,0.631266,0.81734,0.000005,notBlood
1,0.72698,9.544739,0.630273,0.823958,0.000002,notBlood
0.836066,0.422144,9.168733,0.632754,0.714097,0.000041,notBlood
1,0.816814,12.140207,0.630769,0.739246,0.000009,notBlood
1,0.934868,9.854896,0.632754,0.772336,0.000028,notBlood
1,0.753982,4.86484,0.631266,0.819987,0.000002,notBlood
0.933333,0.558505,12.594046,0.631762,0.684977,0.000003,notBlood
1,0.698132,10.341059,0.632258,0.607545,0.000003,notBlood
0.725,0.314159,11.341958,0.634243,0.62409,0.000013,notBlood
0.724638,0.208516,7.299968,0.637221,0.658504,0.000026,notBlood
1,0.623126,2.793842,0.634243,0.658504,0.000002,notBlood
1,0.736917,6.658675,0.634739,0.669093,0.000006,notBlood
1,0.652234,12.019244,0.634739,0.825281,0.000005,notBlood
0.909091,0.467344,9.588606,0.637221,0.684315,0.000006,notBlood
0.74,0.296566,2.657398,0.641687,0.657842,0.000019,notBlood
1,0.620562,6.998884,0.640199,0.838518,0.000005,notBlood
0.903226,0.339985,3.051821,0.642184,0.663799,0.000009,notBlood
1,0.623126,1.57233,0.642184,0.684315,0.000002,notBlood
1,0.628319,1.469694,0.643176,0.674388,0.000002,notBlood
0.791667,0.370882,3.070115,0.645658,0.657842,0.000006,notBlood
